instance,goal,verdict,duration
exp_acyclic_depvary_step8_batch_yyy05.pl,a3,yes,239
exp_acyclic_depvary_step8_batch_yyy06.pl,a4,no,2
exp_acyclic_depvary_step8_batch_yyy06.pl,c2,no,51
exp_acyclic_depvary_step8_batch_yyy06.pl,c4,yes,21
exp_acyclic_depvary_step8_batch_yyy06.pl,a5,no,309
exp_acyclic_depvary_step8_batch_yyy07.pl,e1,yes,416
exp_acyclic_depvary_step8_batch_yyy07.pl,a4,no,1
exp_acyclic_depvary_step8_batch_yyy07.pl,c4,no,21918
exp_acyclic_depvary_step8_batch_yyy08.pl,y4,yes,5
exp_acyclic_depvary_step8_batch_yyy08.pl,e3,yes,22
exp_acyclic_depvary_step8_batch_yyy08.pl,a2,no,2
exp_acyclic_depvary_step8_batch_yyy08.pl,d2,yes,0
exp_acyclic_depvary_step8_batch_yyy08.pl,t1,yes,17
exp_acyclic_depvary_step8_batch_yyy09.pl,d4,yes,30
exp_acyclic_depvary_step8_batch_yyy09.pl,f4,yes,22
exp_acyclic_depvary_step8_batch_yyy09.pl,c5,yes,22
exp_acyclic_depvary_step8_batch_yyy09.pl,b1,yes,18
exp_acyclic_depvary_step8_batch_yyy09.pl,f2,no,1
exp_acyclic_depvary_step8_batch_yyy09.pl,c2,no,1
exp_acyclic_depvary_step8_batch_yyy09.pl,a1,no,2
exp_acyclic_depvary_step8_batch_yyy10.pl,d3,no,3
exp_acyclic_depvary_step8_batch_yyy10.pl,f1,yes,22
exp_acyclic_depvary_step8_batch_yyy10.pl,c5,no,20
exp_acyclic_depvary_step9_batch_yyy01.pl,b1,yes,15
exp_acyclic_depvary_step9_batch_yyy01.pl,b4,yes,1
exp_acyclic_depvary_step9_batch_yyy01.pl,e2,no,5
exp_acyclic_depvary_step9_batch_yyy02.pl,b4,yes,0
exp_acyclic_depvary_step9_batch_yyy02.pl,e1,no,3
exp_acyclic_depvary_step9_batch_yyy02.pl,a3,no,9
exp_acyclic_depvary_step9_batch_yyy02.pl,d2,yes,9
exp_acyclic_depvary_step9_batch_yyy02.pl,b5,yes,19
exp_acyclic_depvary_step9_batch_yyy02.pl,a1,yes,24
exp_acyclic_depvary_step9_batch_yyy03.pl,x4,yes,32
exp_acyclic_depvary_step9_batch_yyy03.pl,b3,yes,40
exp_acyclic_depvary_step9_batch_yyy03.pl,a1,no,4
