instance,goal,verdict,duration
exp_acyclic_depvary_step6_batch_yyy06.pl,d1,no,9009
exp_acyclic_depvary_step6_batch_yyy07.pl,c2,yes,510
exp_acyclic_depvary_step6_batch_yyy07.pl,s2,no,28160
exp_acyclic_depvary_step6_batch_yyy08.pl,a1,timeout,120000
exp_acyclic_depvary_step6_batch_yyy09.pl,a1,yes,32
exp_acyclic_depvary_step6_batch_yyy09.pl,c2,no,61649
exp_acyclic_depvary_step6_batch_yyy09.pl,e1,no,15176
exp_acyclic_depvary_step6_batch_yyy09.pl,t3,no,62365
exp_acyclic_depvary_step6_batch_yyy10.pl,b1,no,8
exp_acyclic_depvary_step7_batch_yyy01.pl,f3,timeout,120000
exp_acyclic_depvary_step7_batch_yyy01.pl,b4,timeout,120000
exp_acyclic_depvary_step7_batch_yyy01.pl,d4,timeout,120000
exp_acyclic_depvary_step7_batch_yyy01.pl,v3,timeout,120000
exp_acyclic_depvary_step7_batch_yyy02.pl,e3,yes,13
exp_acyclic_depvary_step7_batch_yyy02.pl,d4,yes,586
exp_acyclic_depvary_step7_batch_yyy02.pl,c2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy02.pl,a1,timeout,120000
exp_acyclic_depvary_step7_batch_yyy03.pl,r4,timeout,120001
exp_acyclic_depvary_step7_batch_yyy03.pl,c2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy03.pl,d4,timeout,120000
exp_acyclic_depvary_step7_batch_yyy04.pl,e4,no,16590
exp_acyclic_depvary_step7_batch_yyy04.pl,f2,yes,4282
exp_acyclic_depvary_step7_batch_yyy04.pl,b1,yes,1462
exp_acyclic_depvary_step7_batch_yyy05.pl,f2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy05.pl,a3,timeout,120001
exp_acyclic_depvary_step7_batch_yyy05.pl,b4,yes,71
exp_acyclic_depvary_step7_batch_yyy05.pl,f4,timeout,120001
exp_acyclic_depvary_step7_batch_yyy06.pl,f2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy06.pl,c1,yes,0
exp_acyclic_depvary_step7_batch_yyy06.pl,a1,timeout,120000
exp_acyclic_depvary_step7_batch_yyy06.pl,d1,timeout,120001
exp_acyclic_depvary_step7_batch_yyy07.pl,b1,timeout,120000
exp_acyclic_depvary_step7_batch_yyy07.pl,c2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy07.pl,d2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy07.pl,q1,timeout,120000
exp_acyclic_depvary_step7_batch_yyy08.pl,d3,timeout,120000
exp_acyclic_depvary_step7_batch_yyy08.pl,e3,timeout,120001
exp_acyclic_depvary_step7_batch_yyy08.pl,a4,timeout,120000
exp_acyclic_depvary_step7_batch_yyy08.pl,f2,timeout,120000
exp_acyclic_depvary_step7_batch_yyy08.pl,f1,yes,0
exp_acyclic_depvary_step7_batch_yyy09.pl,e3,yes,104
exp_acyclic_depvary_step7_batch_yyy09.pl,b4,timeout,120000
exp_acyclic_depvary_step7_batch_yyy09.pl,e2,no,29811
exp_acyclic_depvary_step7_batch_yyy09.pl,d1,yes,2
exp_acyclic_depvary_step7_batch_yyy09.pl,c1,timeout,120000
exp_acyclic_depvary_step7_batch_yyy09.pl,e1,timeout,120000
exp_acyclic_depvary_step7_batch_yyy10.pl,a4,yes,0
exp_acyclic_depvary_step7_batch_yyy10.pl,d2,no,45515
exp_acyclic_depvary_step7_batch_yyy10.pl,q3,no,68015
exp_acyclic_depvary_step8_batch_yyy01.pl,d4,timeout,120001
exp_acyclic_depvary_step8_batch_yyy01.pl,c3,timeout,120000
exp_acyclic_depvary_step8_batch_yyy01.pl,z1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy01.pl,d3,timeout,120000
exp_acyclic_depvary_step8_batch_yyy01.pl,e2,timeout,120002
exp_acyclic_depvary_step8_batch_yyy02.pl,a2,timeout,120000
exp_acyclic_depvary_step8_batch_yyy02.pl,d1,yes,160
exp_acyclic_depvary_step8_batch_yyy02.pl,f1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy02.pl,b5,yes,0
exp_acyclic_depvary_step8_batch_yyy03.pl,f1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy03.pl,c3,timeout,120000
exp_acyclic_depvary_step8_batch_yyy03.pl,y4,timeout,120000
exp_acyclic_depvary_step8_batch_yyy04.pl,b3,yes,2
exp_acyclic_depvary_step8_batch_yyy04.pl,b1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy04.pl,u2,timeout,120000
exp_acyclic_depvary_step8_batch_yyy04.pl,e2,timeout,120000
exp_acyclic_depvary_step8_batch_yyy04.pl,w3,no,13417
exp_acyclic_depvary_step8_batch_yyy04.pl,d1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy04.pl,c4,timeout,120001
exp_acyclic_depvary_step8_batch_yyy05.pl,c1,yes,0
exp_acyclic_depvary_step8_batch_yyy05.pl,a5,timeout,120001
exp_acyclic_depvary_step8_batch_yyy05.pl,f3,yes,327
exp_acyclic_depvary_step8_batch_yyy05.pl,a3,timeout,120000
exp_acyclic_depvary_step8_batch_yyy06.pl,a4,timeout,120000
exp_acyclic_depvary_step8_batch_yyy06.pl,c2,timeout,120000
exp_acyclic_depvary_step8_batch_yyy06.pl,c4,yes,37954
exp_acyclic_depvary_step8_batch_yyy06.pl,a5,timeout,120002
exp_acyclic_depvary_step8_batch_yyy07.pl,e1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy07.pl,a4,timeout,120000
exp_acyclic_depvary_step8_batch_yyy07.pl,c4,timeout,120000
exp_acyclic_depvary_step8_batch_yyy08.pl,y4,timeout,120000
exp_acyclic_depvary_step8_batch_yyy08.pl,e3,timeout,120000
exp_acyclic_depvary_step8_batch_yyy08.pl,a2,timeout,120000
exp_acyclic_depvary_step8_batch_yyy08.pl,d2,yes,0
exp_acyclic_depvary_step8_batch_yyy08.pl,t1,timeout,120000
exp_acyclic_depvary_step8_batch_yyy09.pl,d4,timeout,120000
exp_acyclic_depvary_step8_batch_yyy09.pl,f4,yes,44728
exp_acyclic_depvary_step8_batch_yyy09.pl,c5,yes,86
exp_acyclic_depvary_step8_batch_yyy09.pl,b1,timeout,120000
