,verdict,instance,goal,Defences,Culprits,PRules,ORules,PStatements,OStatements,DefencesFound,Moves,Duration
81,no,exp_cycles_indvary3_step3_batch_yyy10.pl,r6,,,,,,,,,0.9731359481811523
82,no,exp_acyclic_indvary1_step2_batch_yyy01.pl,p4,,,,,,,,,0.9652900695800781
83,no,exp_acyclic_indvary2_step4_batch_yyy10.pl,x4,,,,,,,,,1.0232579708099365
84,no,exp_acyclic_depvary_step9_batch_yyy04.pl,d1,,,,,,,,,1.182469129562378
85,no,exp_cycles_indvary2_step2_batch_yyy09.pl,w5,,,,,,,,,1.0053579807281494
86,no,exp_cycles_indvary1_step1_batch_yyy02.pl,v7,,,,,,,,,0.9590296745300293
87,no,exp_acyclic_indvary2_step1_batch_yyy02.pl,p5,,,,,,,,,0.9698307514190674
88,no,exp_acyclic_indvary2_step8_batch_yyy06.pl,f3,,,,,,,,,1.0406699180603027
89,no,exp_cycles_depvary_step8_batch_yyy08.pl,q4,,,,,,,,,1.0261554718017578
90,no,exp_acyclic_indvary3_step4_batch_yyy06.pl,x6,,,,,,,,,0.9544551372528076
91,no,exp_acyclic_indvary3_step2_batch_yyy07.pl,v4,,,,,,,,,0.9619066715240479
92,no,exp_cycles_depvary_step2_batch_yyy09.pl,c4,,,,,,,,,0.9390621185302734
93,yes,exp_acyclic_indvary2_step4_batch_yyy06.pl,d1,1,7,20,0,21,1,1,21,1.1509630680084229
94,no,exp_acyclic_indvary1_step3_batch_yyy06.pl,z3,,,,,,,,,0.9583654403686523
95,yes,exp_cycles_depvary_step10_batch_yyy07.pl,u4,0,1,2,0,2,0,1,2,1.1037802696228027
96,yes,exp_cycles_depvary_step4_batch_yyy08.pl,u2,0,4,10,0,10,0,1,10,1.035658359527588
97,no,exp_cycles_depvary_step1_batch_yyy03.pl,r2,,,,,,,,,0.950434684753418
98,yes,exp_cycles_depvary_step8_batch_yyy02.pl,u3,0,1,13,0,13,0,1,13,1.106844425201416
99,no,exp_cycles_depvary_step6_batch_yyy06.pl,w7,,,,,,,,,0.9906823635101318
100,yes,exp_cycles_indvary2_step5_batch_yyy10.pl,r3,0,1,12,0,12,0,1,12,1.1097297668457031
101,no,exp_acyclic_indvary2_step4_batch_yyy08.pl,f5,,,,,,,,,1.0168206691741943
102,no,exp_acyclic_indvary2_step3_batch_yyy04.pl,f5,,,,,,,,,0.9958639144897461
103,no,exp_acyclic_indvary3_step4_batch_yyy07.pl,d3,,,,,,,,,0.9561188220977783
104,no,exp_cycles_depvary_step9_batch_yyy09.pl,f4,,,,,,,,,1.1808736324310303
105,no,exp_acyclic_indvary3_step4_batch_yyy07.pl,q6,,,,,,,,,0.9620084762573242
106,no,exp_acyclic_indvary2_step2_batch_yyy07.pl,a4,,,,,,,,,0.997957706451416
107,no,exp_cycles_indvary1_step5_batch_yyy10.pl,v2,,,,,,,,,1.048706293106079
108,no,exp_cycles_indvary1_step1_batch_yyy10.pl,r6,,,,,,,,,0.9566240310668945
109,no,exp_acyclic_indvary2_step6_batch_yyy02.pl,v5,,,,,,,,,1.0245521068572998
110,no,exp_cycles_depvary_step3_batch_yyy05.pl,p3,,,,,,,,,0.978431224822998
111,no,exp_cycles_indvary2_step1_batch_yyy02.pl,p2,,,,,,,,,0.9662430286407471
112,yes,exp_acyclic_indvary1_step2_batch_yyy07.pl,s1,0,3,4,0,4,0,1,4,1.0026211738586426
113,no,exp_acyclic_indvary2_step7_batch_yyy02.pl,q5,,,,,,,,,1.0325958728790283
114,no,exp_acyclic_indvary1_step7_batch_yyy02.pl,u6,,,,,,,,,0.9648251533508301
115,no,exp_cycles_indvary2_step6_batch_yyy01.pl,c1,,,,,,,,,1.1578269004821777
116,yes,exp_cycles_indvary3_step4_batch_yyy10.pl,e1,1,1,0,51,1,49,1,51,1.1828269958496094
117,no,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,,,,,,,,,1.1986384391784668
118,no,exp_cycles_indvary3_step2_batch_yyy03.pl,y2,,,,,,,,,1.03373122215271
119,no,exp_acyclic_indvary3_step3_batch_yyy03.pl,p5,,,,,,,,,0.9565587043762207
120,no,exp_acyclic_depvary_step4_batch_yyy03.pl,d3,,,,,,,,,0.9557795524597168
121,yes,exp_acyclic_indvary3_step8_batch_yyy05.pl,e1,1,1,0,4,1,31,1,4,1.04976487159729
122,yes,exp_cycles_indvary2_step8_batch_yyy02.pl,u2,0,4,16,0,16,0,1,16,1.149939775466919
123,no,exp_acyclic_indvary2_step8_batch_yyy06.pl,v6,,,,,,,,,1.0450992584228516
124,no,exp_cycles_indvary2_step6_batch_yyy10.pl,y6,,,,,,,,,1.0352370738983154
125,no,exp_cycles_indvary2_step1_batch_yyy06.pl,t4,,,,,,,,,0.9743001461029053
126,no,exp_cycles_indvary2_step8_batch_yyy04.pl,x7,,,,,,,,,1.0297355651855469
127,no,exp_cycles_indvary2_step8_batch_yyy05.pl,d5,,,,,,,,,1.041071891784668
128,no,exp_cycles_indvary1_step2_batch_yyy08.pl,r5,,,,,,,,,0.976783275604248
129,no,exp_acyclic_indvary2_step7_batch_yyy10.pl,s5,,,,,,,,,1.0354721546173096
130,no,exp_cycles_indvary3_step2_batch_yyy10.pl,y3,,,,,,,,,0.9714734554290771
131,no,exp_cycles_indvary1_step7_batch_yyy06.pl,c2,,,,,,,,,1.0377790927886963
132,yes,exp_acyclic_indvary2_step7_batch_yyy06.pl,a2,1,7,20,0,21,1,1,21,1.1634504795074463
133,no,exp_acyclic_indvary1_step1_batch_yyy08.pl,x5,,,,,,,,,0.9583101272583008
134,yes,exp_acyclic_indvary1_step5_batch_yyy05.pl,e1,1,0,0,0,1,0,1,0,0.9700348377227783
135,no,exp_acyclic_indvary1_step7_batch_yyy02.pl,d4,,,,,,,,,0.9665842056274414
136,no,exp_acyclic_indvary3_step7_batch_yyy10.pl,f3,,,,,,,,,0.9862706661224365
137,no,exp_acyclic_depvary_step1_batch_yyy01.pl,c5,,,,,,,,,0.940748929977417
138,yes,exp_cycles_depvary_step10_batch_yyy04.pl,r5,2,7,18,0,20,1,1,19,1.1760427951812744
139,no,exp_acyclic_depvary_step2_batch_yyy10.pl,v4,,,,,,,,,0.9494521617889404
140,no,exp_acyclic_indvary2_step3_batch_yyy01.pl,d4,,,,,,,,,1.0038988590240479
141,yes,exp_cycles_depvary_step7_batch_yyy03.pl,v4,0,1,4,0,4,0,1,4,1.0547213554382324
142,no,exp_acyclic_indvary2_step6_batch_yyy08.pl,t6,,,,,,,,,1.0282249450683594
143,no,exp_cycles_depvary_step1_batch_yyy09.pl,f3,,,,,,,,,0.9241290092468262
144,yes,exp_acyclic_depvary_step8_batch_yyy08.pl,r2,0,5,10,0,10,0,1,10,1.0643231868743896
145,yes,exp_acyclic_depvary_step7_batch_yyy10.pl,f2,1,9,16,1,17,2,1,17,1.0815250873565674
146,no,exp_cycles_indvary1_step5_batch_yyy05.pl,d3,,,,,,,,,0.9743678569793701
147,no,exp_acyclic_indvary1_step7_batch_yyy04.pl,x2,,,,,,,,,0.9590194225311279
148,no,exp_cycles_depvary_step1_batch_yyy01.pl,a1,,,,,,,,,0.9897949695587158
149,yes,exp_acyclic_indvary2_step2_batch_yyy06.pl,w1,0,0,2,0,2,0,1,2,1.0276787281036377
150,no,exp_acyclic_indvary3_step3_batch_yyy10.pl,a3,,,,,,,,,0.9804863929748535
151,no,exp_acyclic_indvary1_step6_batch_yyy08.pl,z4,,,,,,,,,0.9699704647064209
152,no,exp_cycles_depvary_step2_batch_yyy01.pl,t5,,,,,,,,,0.9512753486633301
153,no,exp_acyclic_depvary_step9_batch_yyy02.pl,r4,,,,,,,,,1.2913100719451904
154,no,exp_cycles_indvary3_step3_batch_yyy08.pl,s6,,,,,,,,,0.9553725719451904
155,no,exp_cycles_indvary1_step3_batch_yyy07.pl,f5,,,,,,,,,0.9781434535980225
156,no,exp_cycles_indvary1_step1_batch_yyy04.pl,u2,,,,,,,,,0.9585411548614502
157,no,exp_acyclic_indvary3_step3_batch_yyy03.pl,q5,,,,,,,,,0.9584059715270996
158,no,exp_acyclic_depvary_step1_batch_yyy01.pl,z4,,,,,,,,,0.9427292346954346
159,yes,exp_acyclic_indvary1_step2_batch_yyy04.pl,p2,0,9,11,0,11,0,1,11,1.045860767364502
160,no,exp_acyclic_depvary_step9_batch_yyy07.pl,f4,,,,,,,,,1.1784520149230957
161,no,exp_acyclic_indvary1_step5_batch_yyy08.pl,v5,,,,,,,,,0.9655747413635254
162,no,exp_cycles_indvary3_step5_batch_yyy07.pl,e3,,,,,,,,,0.9815759658813477
163,yes,exp_acyclic_indvary1_step6_batch_yyy07.pl,f1,1,0,0,0,1,0,1,0,0.9861454963684082
164,no,exp_acyclic_indvary2_step2_batch_yyy08.pl,c5,,,,,,,,,0.9860467910766602
165,yes,exp_cycles_indvary1_step3_batch_yyy06.pl,v2,0,0,1,0,1,0,1,1,0.9940376281738281
166,no,exp_cycles_indvary1_step5_batch_yyy01.pl,q4,,,,,,,,,0.9815809726715088
167,no,exp_cycles_indvary2_step1_batch_yyy02.pl,v3,,,,,,,,,0.9726364612579346
168,yes,exp_acyclic_indvary2_step7_batch_yyy03.pl,w2,0,3,6,0,6,0,1,6,1.0988941192626953
169,no,exp_cycles_indvary3_step6_batch_yyy03.pl,x7,,,,,,,,,0.977792501449585
170,no,exp_acyclic_depvary_step9_batch_yyy06.pl,q5,,,,,,,,,1.02008056640625
171,no,exp_cycles_indvary2_step3_batch_yyy10.pl,x3,,,,,,,,,1.0125102996826172
172,no,exp_cycles_depvary_step10_batch_yyy08.pl,x2,,,,,,,,,16.63539958000183
